ID,fmc,lai,landcover,n,soil,443,490,560,665,705,740,783,842,865,945,1375,1610,2190
75,27.13567839,1.23237228,forest,2,2_newsoil.txt,0.024018,0.028021,0.046002,0.04137,0.068767,0.17377,0.21611,0.22877,0.23484,0.24755,0.21024,0.20268,0.11
76,27.13567839,1.23237228,forest,2,2_newsoil.txt,0.022207,0.025152,0.042556,0.033053,0.061715,0.18574,0.23465,0.24672,0.25273,0.26466,0.21997,0.19886,0.09514
77,27.13567839,1.05526548,forest,2,2_newsoil.txt,0.031585,0.038811,0.060285,0.06795,0.094855,0.15813,0.1854,0.20011,0.20656,0.22174,0.20202,0.22963,0.16013
78,27.13567839,1.05526548,forest,2,2_newsoil.txt,0.028057,0.033818,0.053659,0.055813,0.082897,0.16388,0.19709,0.21089,0.21714,0.23124,0.2045,0.21735,0.13757
79,27.13567839,1.05526548,forest,2,2_newsoil.txt,0.025156,0.029617,0.048201,0.045172,0.072785,0.17136,0.21045,0.22344,0.22955,0.24269,0.20911,0.20807,0.11802
80,27.13567839,1.05526548,forest,2,2_newsoil.txt,0.023411,0.026872,0.044892,0.037284,0.066071,0.182,0.22686,0.23928,0.24531,0.25771,0.21763,0.20431,0.10401
81,27.13567839,0.89257421,forest,2,2_newsoil.txt,0.032332,0.039845,0.061717,0.07035,0.097418,0.15724,0.18292,0.19784,0.20433,0.21976,0.20191,0.23308,0.16509
82,27.13567839,0.89257421,forest,2,2_newsoil.txt,0.029102,0.035274,0.055664,0.059232,0.086513,0.16231,0.19313,0.20723,0.21353,0.228,0.20404,0.22211,0.14461
83,27.13567839,0.89257421,forest,2,2_newsoil.txt,0.026428,0.031404,0.050645,0.04944,0.077237,0.16888,0.20479,0.21816,0.22431,0.23791,0.208,0.21373,0.12679
84,27.13567839,0.89257421,forest,2,2_newsoil.txt,0.024777,0.028823,0.047525,0.042086,0.070958,0.1782,0.21909,0.23192,0.238,0.25091,0.21535,0.21013,0.11383
85,27.13567839,0.74212736,forest,2,2_newsoil.txt,0.033151,0.04098,0.063278,0.072997,0.10021,0.15632,0.18044,0.19559,0.20212,0.21782,0.20181,0.23665,0.17043
86,27.13567839,0.74212736,forest,2,2_newsoil.txt,0.030253,0.036879,0.057862,0.063018,0.090463,0.1607,0.18919,0.2036,0.20996,0.22482,0.2036,0.22704,0.15223
87,27.13567839,0.74212736,forest,2,2_newsoil.txt,0.027838,0.033387,0.05334,0.05419,0.082129,0.16635,0.19916,0.21292,0.21915,0.23324,0.20694,0.21964,0.13632
88,27.13567839,0.74212736,forest,2,2_newsoil.txt,0.026312,0.031015,0.050465,0.04748,0.076388,0.17435,0.21138,0.22465,0.23079,0.24427,0.21315,0.21629,0.12459
89,29.6803653,1.42669978,forest,2,1_newsoil.txt,0.04035,0.049814,0.077655,0.087908,0.12248,0.201,0.23563,0.25534,0.26404,0.28447,0.25539,0.29066,0.20337
90,29.6803653,1.42669978,forest,2,1_newsoil.txt,0.033517,0.040616,0.065081,0.067402,0.10069,0.19889,0.24001,0.25796,0.26621,0.28468,0.2452,0.25825,0.16163
91,29.6803653,1.42669978,forest,2,1_newsoil.txt,0.027763,0.032777,0.054516,0.049467,0.08208,0.19982,0.24735,0.26375,0.27162,0.28833,0.23884,0.23124,0.12521
92,29.6803653,1.42669978,forest,2,1_newsoil.txt,0.023994,0.027441,0.047647,0.036263,0.069325,0.20635,0.26015,0.27537,0.283,0.29831,0.23955,0.21419,0.098556
93,29.6803653,1.23237228,forest,2,1_newsoil.txt,0.041339,0.051131,0.079546,0.090744,0.12578,0.20194,0.23531,0.25538,0.26418,0.28503,0.25797,0.29717,0.20985
94,29.6803653,1.23237228,forest,2,1_newsoil.txt,0.0349,0.042463,0.067724,0.071415,0.10533,0.19994,0.23917,0.25764,0.26602,0.28509,0.24861,0.26737,0.17081
95,29.6803653,1.23237228,forest,2,1_newsoil.txt,0.029443,0.035033,0.057728,0.054426,0.087769,0.20066,0.24566,0.26269,0.27071,0.28818,0.24265,0.24237,0.13656
96,29.6803653,1.23237228,forest,2,1_newsoil.txt,0.025794,0.029882,0.05109,0.041744,0.075512,0.20636,0.25696,0.2729,0.28068,0.29684,0.24293,0.2262,0.11115
97,29.6803653,1.05526548,forest,2,1_newsoil.txt,0.042443,0.052601,0.081641,0.093921,0.12943,0.2029,0.235,0.25544,0.26434,0.28562,0.26063,0.30398,0.21695
98,29.6803653,1.05526548,forest,2,1_newsoil.txt,0.036451,0.044536,0.070669,0.075932,0.11049,0.20104,0.23835,0.25735,0.26587,0.28555,0.25214,0.27696,0.18092
99,29.6803653,1.05526548,forest,2,1_newsoil.txt,0.031343,0.037585,0.061335,0.060048,0.094129,0.20157,0.244,0.2617,0.26989,0.28812,0.24662,0.25414,0.14916
